input_file,n,si,ti
Sparks_4096x2160_5994fps_HDR10.mp4,134,1.712,0.186
Sparks_4096x2160_5994fps_HDR10.mp4,135,1.72,0.155
Sparks_4096x2160_5994fps_HDR10.mp4,136,1.758,0.168
Sparks_4096x2160_5994fps_HDR10.mp4,137,1.816,0.172
Sparks_4096x2160_5994fps_HDR10.mp4,138,1.837,0.18
Sparks_4096x2160_5994fps_HDR10.mp4,139,1.844,0.152
Sparks_4096x2160_5994fps_HDR10.mp4,140,1.88,0.176
Sparks_4096x2160_5994fps_HDR10.mp4,141,1.939,0.174
Sparks_4096x2160_5994fps_HDR10.mp4,142,1.964,0.188
Sparks_4096x2160_5994fps_HDR10.mp4,143,1.979,0.163
Sparks_4096x2160_5994fps_HDR10.mp4,144,2.02,0.177
Sparks_4096x2160_5994fps_HDR10.mp4,145,2.089,0.188
Sparks_4096x2160_5994fps_HDR10.mp4,146,2.128,0.199
Sparks_4096x2160_5994fps_HDR10.mp4,147,2.136,0.174
Sparks_4096x2160_5994fps_HDR10.mp4,148,2.185,0.191
Sparks_4096x2160_5994fps_HDR10.mp4,149,2.248,0.198
Sparks_4096x2160_5994fps_HDR10.mp4,150,2.276,0.205
Sparks_4096x2160_5994fps_HDR10.mp4,151,2.289,0.192
Sparks_4096x2160_5994fps_HDR10.mp4,152,2.342,0.2
Sparks_4096x2160_5994fps_HDR10.mp4,153,2.406,0.197
Sparks_4096x2160_5994fps_HDR10.mp4,154,2.443,0.24
Sparks_4096x2160_5994fps_HDR10.mp4,155,2.454,0.191
Sparks_4096x2160_5994fps_HDR10.mp4,156,2.492,0.199
Sparks_4096x2160_5994fps_HDR10.mp4,157,2.565,0.217
Sparks_4096x2160_5994fps_HDR10.mp4,158,2.609,0.23
Sparks_4096x2160_5994fps_HDR10.mp4,159,2.623,0.199
Sparks_4096x2160_5994fps_HDR10.mp4,160,2.666,0.195
Sparks_4096x2160_5994fps_HDR10.mp4,161,2.734,0.206
