input_file,si,ti,n
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.231,0.299,97
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.269,0.303,98
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.264,0.313,99
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.271,0.289,100
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.285,0.293,101
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.326,0.306,102
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.323,0.316,103
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.33,0.292,104
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.346,0.313,105
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.386,0.313,106
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.388,0.326,107
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.393,0.296,108
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.415,0.317,109
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.455,0.322,110
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.464,0.335,111
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.469,0.305,112
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.502,0.324,113
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.551,0.325,114
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.56,0.338,115
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.567,0.303,116
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.595,0.334,117
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.646,0.333,118
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.632,0.357,119
/Volumes/Data/Netflix/Sparks_4096x2160_5994fps_HDR10.mp4,1.645,0.334,120
