input_file,n,si,ti
Sparks_4096x2160_5994fps_SDR.mp4,174,2.928,0.266
Sparks_4096x2160_5994fps_SDR.mp4,175,3.023,0.392
Sparks_4096x2160_5994fps_SDR.mp4,176,3.012,0.437
Sparks_4096x2160_5994fps_SDR.mp4,177,3.023,0.219
Sparks_4096x2160_5994fps_SDR.mp4,178,3.175,0.425
Sparks_4096x2160_5994fps_SDR.mp4,179,3.17,0.459
Sparks_4096x2160_5994fps_SDR.mp4,180,3.184,0.223
Sparks_4096x2160_5994fps_SDR.mp4,181,3.304,0.425
Sparks_4096x2160_5994fps_SDR.mp4,182,3.293,0.438
Sparks_4096x2160_5994fps_SDR.mp4,183,3.313,0.236
Sparks_4096x2160_5994fps_SDR.mp4,184,3.438,0.427
Sparks_4096x2160_5994fps_SDR.mp4,185,3.436,0.437
Sparks_4096x2160_5994fps_SDR.mp4,186,3.452,0.238
Sparks_4096x2160_5994fps_SDR.mp4,187,3.647,0.445
Sparks_4096x2160_5994fps_SDR.mp4,188,3.657,0.445
Sparks_4096x2160_5994fps_SDR.mp4,189,3.682,0.31
Sparks_4096x2160_5994fps_SDR.mp4,190,3.765,0.426
Sparks_4096x2160_5994fps_SDR.mp4,191,3.775,0.44
Sparks_4096x2160_5994fps_SDR.mp4,192,3.792,0.268
Sparks_4096x2160_5994fps_SDR.mp4,193,3.917,0.454
Sparks_4096x2160_5994fps_SDR.mp4,194,3.927,0.459
Sparks_4096x2160_5994fps_SDR.mp4,195,3.94,0.259
Sparks_4096x2160_5994fps_SDR.mp4,196,4.075,0.446
Sparks_4096x2160_5994fps_SDR.mp4,197,4.067,0.46
Sparks_4096x2160_5994fps_SDR.mp4,198,4.1,0.295
Sparks_4096x2160_5994fps_SDR.mp4,199,4.209,0.438
Sparks_4096x2160_5994fps_SDR.mp4,200,4.22,0.447
Sparks_4096x2160_5994fps_SDR.mp4,201,4.242,0.294
Sparks_4096x2160_5994fps_SDR.mp4,202,4.364,0.499
Sparks_4096x2160_5994fps_SDR.mp4,203,4.386,0.379
Sparks_4096x2160_5994fps_SDR.mp4,204,4.516,0.494
Sparks_4096x2160_5994fps_SDR.mp4,205,4.526,0.483
Sparks_4096x2160_5994fps_SDR.mp4,206,4.568,0.336
Sparks_4096x2160_5994fps_SDR.mp4,207,4.658,0.53
Sparks_4096x2160_5994fps_SDR.mp4,208,4.711,0.368
Sparks_4096x2160_5994fps_SDR.mp4,209,4.802,0.529
Sparks_4096x2160_5994fps_SDR.mp4,210,4.851,0.367
Sparks_4096x2160_5994fps_SDR.mp4,211,4.925,0.556
Sparks_4096x2160_5994fps_SDR.mp4,212,4.963,0.368
Sparks_4096x2160_5994fps_SDR.mp4,213,5.062,0.491
Sparks_4096x2160_5994fps_SDR.mp4,214,5.102,0.512
Sparks_4096x2160_5994fps_SDR.mp4,215,5.137,0.344
Sparks_4096x2160_5994fps_SDR.mp4,216,5.239,0.459
Sparks_4096x2160_5994fps_SDR.mp4,217,5.291,0.489
Sparks_4096x2160_5994fps_SDR.mp4,218,5.321,0.341
Sparks_4096x2160_5994fps_SDR.mp4,219,5.54,0.494
Sparks_4096x2160_5994fps_SDR.mp4,220,5.575,0.409
Sparks_4096x2160_5994fps_SDR.mp4,221,5.639,0.443
Sparks_4096x2160_5994fps_SDR.mp4,222,5.714,0.457
Sparks_4096x2160_5994fps_SDR.mp4,223,5.742,0.375
Sparks_4096x2160_5994fps_SDR.mp4,224,5.771,0.495
Sparks_4096x2160_5994fps_SDR.mp4,225,5.813,0.351
Sparks_4096x2160_5994fps_SDR.mp4,226,5.923,0.454
Sparks_4096x2160_5994fps_SDR.mp4,227,5.932,0.498
Sparks_4096x2160_5994fps_SDR.mp4,228,5.968,0.349
Sparks_4096x2160_5994fps_SDR.mp4,229,6.088,0.504
Sparks_4096x2160_5994fps_SDR.mp4,230,6.091,0.511
Sparks_4096x2160_5994fps_SDR.mp4,231,6.161,0.378
Sparks_4096x2160_5994fps_SDR.mp4,232,6.283,0.505
Sparks_4096x2160_5994fps_SDR.mp4,233,6.357,0.497
Sparks_4096x2160_5994fps_SDR.mp4,234,6.387,0.537
Sparks_4096x2160_5994fps_SDR.mp4,235,6.453,0.414
Sparks_4096x2160_5994fps_SDR.mp4,236,6.544,0.494
Sparks_4096x2160_5994fps_SDR.mp4,237,6.598,0.523
Sparks_4096x2160_5994fps_SDR.mp4,238,6.646,0.388
Sparks_4096x2160_5994fps_SDR.mp4,239,6.779,0.517
Sparks_4096x2160_5994fps_SDR.mp4,240,6.753,0.46
Sparks_4096x2160_5994fps_SDR.mp4,241,7.23,0.839
Sparks_4096x2160_5994fps_SDR.mp4,242,7.208,0.454
Sparks_4096x2160_5994fps_SDR.mp4,243,7.24,0.515
Sparks_4096x2160_5994fps_SDR.mp4,244,7.303,0.43
Sparks_4096x2160_5994fps_SDR.mp4,245,7.328,0.487
Sparks_4096x2160_5994fps_SDR.mp4,246,7.386,0.53
Sparks_4096x2160_5994fps_SDR.mp4,247,7.456,0.45
